job,name,course,hobby,comment
,たーく,理学部化学科,Blender、雅楽、旅行,総合知で、超えていく。
,わなか,理学部数学科,仮面ライダーに最近はまりました,よろしかおねがいします
,たか,理学部数学科,プログラミング、ポーカー,遊び全般なんでも好き、特にボドゲ
,好きに呼んでください。,理学部物理学科,スマブラ,よろしく
,ちぇく,理学部物理学科,VRChat,	
